"ID_classificatie","bron","Grootheid.code","Grootheid.omschrijving","Parameter.code","Parameter.omschrijving","CAS.nummer","Eenheid.code","Hoedanigheid.code","Compartiment.code","KRWwatertype.code","GeoObject.identificatie","Waardebewerkingmethode.code","Begindatum","Einddatum","Bijzondere.Omstandigheid"
100100079,"KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","AANTPVLME","Aantal per volume","FYT_bloei10","Fytopl. - bloeisoort (10) Scenedesmus soortenarm","NVT","n/ml","cel","OW","M20","","GEM","2000-01-01",NA,""
100100080,"KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","AANTPVLME","Aantal per volume","FYT_bloei10","Fytopl. - bloeisoort (10) Scenedesmus soortenarm","NVT","n/ml","cel","OW","M23","","GEM","2000-01-01",NA,""
100100081,"KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","AANTPVLME","Aantal per volume","FYT_bloei10","Fytopl. - bloeisoort (10) Scenedesmus soortenarm","NVT","n/ml","cel","OW","M27","","GEM","2000-01-01",NA,""
100100082,"KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","AANTPVLME","Aantal per volume","FYT_bloei10","Fytopl. - bloeisoort (10) Scenedesmus soortenarm","NVT","n/ml","cel","OW","M30","","GEM","2000-01-01",NA,""
100100083,"KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","AANTPVLME","Aantal per volume","FYT_bloei11","Fytopl. - bloeisoort (11) Cyclotella meneghiniana","NVT","n/ml","cel","OW","M30","","GEM","2000-01-01",NA,""
100100084,"KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","AANTPVLME","Aantal per volume","FYT_bloei12","Fytopl. - bloeisoort (12) Stephanodiscus binderanus","NVT","n/ml","cel","OW","M3","","GEM","2000-01-01",NA,""
100100085,"KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","AANTPVLME","Aantal per volume","FYT_bloei12","Fytopl. - bloeisoort (12) Stephanodiscus binderanus","NVT","n/ml","cel","OW","M4","","GEM","2000-01-01",NA,""
100100086,"KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","AANTPVLME","Aantal per volume","FYT_bloei12","Fytopl. - bloeisoort (12) Stephanodiscus binderanus","NVT","n/ml","cel","OW","M6a","","GEM","2000-01-01",NA,""
100100087,"KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","AANTPVLME","Aantal per volume","FYT_bloei12","Fytopl. - bloeisoort (12) Stephanodiscus binderanus","NVT","n/ml","cel","OW","M6b","","GEM","2000-01-01",NA,""
100100088,"KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","AANTPVLME","Aantal per volume","FYT_bloei12","Fytopl. - bloeisoort (12) Stephanodiscus binderanus","NVT","n/ml","cel","OW","M7a","","GEM","2000-01-01",NA,""
