"ID_classificatie","bron","klasse","ondergrens","bovengrens","incl_onder","incl_boven"
"100100699","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Zeer goed",0.8,1,"ja","ja"
"100100699","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Goed",0.6,0.8,"ja","nee"
"100100699","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Matig",0.4,0.6,"ja","nee"
"100100699","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Ontoereikend",0.2,0.4,"ja","nee"
"100100699","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Slecht",0,0.2,"ja","nee"
"100100700","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Zeer goed",0.8,1,"ja","ja"
"100100700","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Goed",0.6,0.8,"ja","nee"
"100100700","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Matig",0.4,0.6,"ja","nee"
"100100700","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Ontoereikend",0.2,0.4,"ja","nee"
"100100700","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Slecht",0,0.2,"ja","nee"
"100100701","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Zeer goed",0.8,1,"ja","ja"
"100100701","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Goed",0.6,0.8,"ja","nee"
"100100701","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Matig",0.4,0.6,"ja","nee"
"100100701","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Ontoereikend",0.2,0.4,"ja","nee"
"100100701","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Slecht",0,0.2,"ja","nee"
"100100702","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Zeer goed",0.8,1,"ja","ja"
"100100702","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Goed",0.6,0.8,"ja","nee"
"100100702","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Matig",0.4,0.6,"ja","nee"
"100100702","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Ontoereikend",0.2,0.4,"ja","nee"
"100100702","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Slecht",0,0.2,"ja","nee"
"100100703","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Zeer goed",0.8,1,"ja","ja"
"100100703","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Goed",0.6,0.8,"ja","nee"
"100100703","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Matig",0.4,0.6,"ja","nee"
"100100703","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Ontoereikend",0.2,0.4,"ja","nee"
"100100703","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Slecht",0,0.2,"ja","nee"
"100100704","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Zeer goed",0.8,1,"ja","ja"
"100100704","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Goed",0.6,0.8,"ja","nee"
"100100704","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Matig",0.4,0.6,"ja","nee"
"100100704","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Ontoereikend",0.2,0.4,"ja","nee"
"100100704","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Slecht",0,0.2,"ja","nee"
"100100705","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Zeer goed",0.8,1,"ja","ja"
"100100705","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Goed",0.6,0.8,"ja","nee"
"100100705","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Matig",0.4,0.6,"ja","nee"
"100100705","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Ontoereikend",0.2,0.4,"ja","nee"
"100100705","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Slecht",0,0.2,"ja","nee"
"100100706","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Zeer goed",0.8,1,"ja","ja"
"100100706","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Goed",0.6,0.8,"ja","nee"
"100100706","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Matig",0.4,0.6,"ja","nee"
"100100706","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Ontoereikend",0.2,0.4,"ja","nee"
"100100706","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Slecht",0,0.2,"ja","nee"
"100100707","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Zeer goed",0.8,1,"ja","ja"
"100100707","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Goed",0.6,0.8,"ja","nee"
"100100707","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Matig",0.4,0.6,"ja","nee"
"100100707","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Ontoereikend",0.2,0.4,"ja","nee"
"100100707","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Slecht",0,0.2,"ja","nee"
"100100708","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Zeer goed",0.8,1,"ja","ja"
"100100708","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Goed",0.6,0.8,"ja","nee"
"100100708","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Matig",0.4,0.6,"ja","nee"
"100100708","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Ontoereikend",0.2,0.4,"ja","nee"
"100100708","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Slecht",0,0.2,"ja","nee"
"100100709","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Zeer goed",0.8,1,"ja","ja"
"100100709","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Goed",0.6,0.8,"ja","nee"
"100100709","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Matig",0.4,0.6,"ja","nee"
"100100709","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Ontoereikend",0.2,0.4,"ja","nee"
"100100709","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Slecht",0,0.2,"ja","nee"
"100100710","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Zeer goed",0.8,1,"ja","ja"
"100100710","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Goed",0.6,0.8,"ja","nee"
"100100710","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Matig",0.4,0.6,"ja","nee"
"100100710","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Ontoereikend",0.2,0.4,"ja","nee"
"100100710","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Slecht",0,0.2,"ja","nee"
"100100711","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Zeer goed",0.8,1,"ja","ja"
"100100711","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Goed",0.6,0.8,"ja","nee"
"100100711","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Matig",0.4,0.6,"ja","nee"
"100100711","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Ontoereikend",0.2,0.4,"ja","nee"
"100100711","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Slecht",0,0.2,"ja","nee"
