"ID_classificatie","bron","Grootheid.code","Grootheid.omschrijving","Parameter.code","Parameter.omschrijving","CAS.nummer","Eenheid.code","Hoedanigheid.code","Compartiment.code","Waardebewerkingmethode.code","Begindatum","Einddatum","Factor.A","Factor.B","Factor.C","Humuspercentage.laag","Humuspercentage.hoog","Bijzondere.Omstandigheid"
100500079,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","4Cl3C1yFol","4-chloor-3-methylfenol","59-50-7","ug/l","NVT","OW","MAX","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500080,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","2ClFol","2-chloorfenol","95-57-8","ug/l","NVT","OW","MAX","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500081,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","3ClFol","3-chloorfenol","108-43-0","ug/l","NVT","OW","MAX","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500082,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","4ClFol","4-chloorfenol","106-48-9","ug/l","NVT","OW","MAX","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500083,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","3ClC3e","3-chloorpropeen","107-05-1","ug/l","NVT","OW","MAX","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500084,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","cumfs","cumafos","56-72-4","ug/l","NVT","OW","MAX","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500085,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","12DBrC2a","1,2-dibroomethaan","106-93-4","ug/l","NVT","OW","MAX","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500086,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","33DClbzdne","3,3'-dichloorbenzidine","91-94-1","ug/l","NVT","OW","MAX","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500087,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","11DClC2e","1,1-dichlooretheen","75-35-4","ug/l","NVT","OW","MAX","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500088,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","24DClFol","2,4-dichloorfenol","120-83-2","ug/l","NVT","OW","MAX","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500089,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","12DClC3a","1,2-dichloorpropaan","78-87-5","ug/l","NVT","OW","MAX","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500090,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","13DClC3e","1,3-dichloorpropeen","542-75-6","ug/l","NVT","OW","MAX","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500091,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","DClppP","dichloorprop-P","15165-67-0","ug/l","NVT","OW","MAX","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500092,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","DClvs","dichloorvos","62-73-7","ug/l","NVT","OW","MAX","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500093,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","Dmtat","dimethoaat","60-51-5","ug/l","NVT","OW","MAX","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500094,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","epClhdne","epichloorhydrine","106-89-8","ug/l","NVT","OW","MAX","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500095,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","HxClC2a","hexachloorethaan","67-72-1","ug/l","NVT","OW","MAX","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500096,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","MCPA","2-methyl-4-chloorfenoxyazijnzuur","94-74-6","ug/l","NVT","OW","MAX","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500097,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","MCPP","mecoprop","93-65-2","ug/l","NVT","OW","MAX","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500098,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","mevfs","mevinfos","7786-34-7","ug/l","NVT","OW","MAX","2000-01-01",NA,NA,NA,NA,NA,NA,""
