"ID_classificatie","bron","Grootheid.code","Grootheid.omschrijving","Parameter.code","Parameter.omschrijving","CAS.nummer","Eenheid.code","Hoedanigheid.code","Compartiment.code","KRWwatertype.code","GeoObject.identificatie","Waardebewerkingmethode.code","Begindatum","Einddatum","Bijzondere.Omstandigheid"
100300112,"KRW maatlatten 2018 - Vis","MASSFTE","Massafractie","VIS_groepBB","Visgroep - baars en blankvoorn (BB)","NVT","%","NVT","OW","M21b",NA,"BER","2000-01-01",NA,"VISrelMs_EU"
100300113,"KRW maatlatten 2018 - Vis","MASSFTE","Massafractie","VIS_gildePm","Visgilde - plantminnende soort (Pm)","NVT","%","NVT","OW","M21b",NA,"BER","2000-01-01",NA,"VISrelMs"
100300114,"KRW maatlatten 2018 - Vis","MASSFTE","Massafractie","VIS_gildeO2","Visgilde - zuurstoftolerante soort (O2)","NVT","%","NVT","OW","M21b",NA,"BER","2000-01-01",NA,"VISrelMs"
100300115,"KRW maatlatten 2018 - Vis","MASSPOPVTE","Massa per oppervlakte","VISSN","Vissen","NVT","kg/ha","NVT","OW","M12",NA,"GEM","2000-01-01",NA,""
100300116,"KRW maatlatten 2018 - Vis","MASSPOPVTE","Massa per oppervlakte","VISSN","Vissen","NVT","kg/ha","NVT","OW","M26",NA,"GEM","2000-01-01",NA,""
100300117,"KRW maatlatten 2018 - Vis","MASSPOPVTE","Massa per oppervlakte","VIS_PLAIFLES","Platichthys flesus","NVT","kg/ha","NVT","OW","M21b",NA,"GEM","2000-01-01",NA,"VIS_KRWmonlc"
100300118,"KRW maatlatten 2018 - Vis","SOORTADL","Soortenaandeel","VIS_gildeRh","Visgilde - rheofiele soort (Rh)","NVT","%","NVT","OW","R5",NA,"BER","2000-01-01",NA,"VISrelAant"
100300119,"KRW maatlatten 2018 - Vis","SOORTADL","Soortenaandeel","VIS_gildeRh","Visgilde - rheofiele soort (Rh)","NVT","%","NVT","OW","R6",NA,"BER","2000-01-01",NA,"VISrelAant"
100300120,"KRW maatlatten 2018 - Vis","SOORTADL","Soortenaandeel","VIS_gildeRh","Visgilde - rheofiele soort (Rh)","NVT","%","NVT","OW","R7",NA,"BER","2000-01-01",NA,"SRTADLindpo"
100300121,"KRW maatlatten 2018 - Vis","SOORTADL","Soortenaandeel","VIS_gildeLi","Visgilde - limnofiele soort (Li)","NVT","%","NVT","OW","R7",NA,"BER","2000-01-01",NA,"SRTADLindpo"
100300122,"KRW maatlatten 2018 - Vis","SOORTADL","Soortenaandeel","VIS_gildeRh","Visgilde - rheofiele soort (Rh)","NVT","%","NVT","OW","R8",NA,"BER","2000-01-01",NA,"SRTADLindpo"
100300123,"KRW maatlatten 2018 - Vis","SOORTADL","Soortenaandeel","VIS_gildeLi","Visgilde - limnofiele soort (Li)","NVT","%","NVT","OW","R8",NA,"BER","2000-01-01",NA,"SRTADLindpo"
100300124,"KRW maatlatten 2018 - Vis","SOORTADL","Soortenaandeel","VIS_gildeRh","Visgilde - rheofiele soort (Rh)","NVT","%","NVT","OW","R12",NA,"BER","2000-01-01",NA,"VISrelAant"
100300125,"KRW maatlatten 2018 - Vis","SOORTADL","Soortenaandeel","VIS_gildeRh","Visgilde - rheofiele soort (Rh)","NVT","%","NVT","OW","R13",NA,"BER","2000-01-01",NA,"VISrelAant"
